USER,SESSION,SESSION_SEDENTARY,SESSION_IN_VEHICLE,SESSION_START_TIMESTAMP,SESSION_END_TIMESTAMP,SESSION_DURATION,SESSION_SUCCESSFUL,SESSION_DATE,ACTIVITY,ACTIVITY_TYPE,ACTIVITY_TIMESTAMP
ccpfoKKTTwR0ZdnqXNDe500l55d2,242-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578418738760,1578420231426,1492666,true,07/01/2020,265-ccpfoKKTTwR0ZdnqXNDe500l55d2,7,1578418738767
ccpfoKKTTwR0ZdnqXNDe500l55d2,242-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578418738760,1578420231426,1492666,true,07/01/2020,266-ccpfoKKTTwR0ZdnqXNDe500l55d2,7,1578418753368
ccpfoKKTTwR0ZdnqXNDe500l55d2,243-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578420231428,1578420309284,77856,true,07/01/2020,267-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578420231439
ccpfoKKTTwR0ZdnqXNDe500l55d2,244-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578420309286,1578420369194,59908,false,07/01/2020,268-ccpfoKKTTwR0ZdnqXNDe500l55d2,11,1578420309291
ccpfoKKTTwR0ZdnqXNDe500l55d2,245-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578420369199,1578420430117,60918,true,07/01/2020,269-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578420369212
ccpfoKKTTwR0ZdnqXNDe500l55d2,246-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578420430123,1578420490114,59991,false,07/01/2020,270-ccpfoKKTTwR0ZdnqXNDe500l55d2,11,1578420430130
ccpfoKKTTwR0ZdnqXNDe500l55d2,247-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578420490116,1578420590840,100724,true,07/01/2020,271-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578420490123
ccpfoKKTTwR0ZdnqXNDe500l55d2,248-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578420590842,1578420650958,60116,true,07/01/2020,272-ccpfoKKTTwR0ZdnqXNDe500l55d2,11,1578420590846
ccpfoKKTTwR0ZdnqXNDe500l55d2,249-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578420650962,1578423978135,3327173,false,07/01/2020,273-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578420650973
ccpfoKKTTwR0ZdnqXNDe500l55d2,250-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578423978138,1578424038206,60068,true,07/01/2020,274-ccpfoKKTTwR0ZdnqXNDe500l55d2,11,1578423978144
