USER,SESSION,SESSION_SEDENTARY,SESSION_IN_VEHICLE,SESSION_START_TIMESTAMP,SESSION_END_TIMESTAMP,SESSION_DURATION,SESSION_SUCCESSFUL,SESSION_DATE,ACTIVITY,ACTIVITY_TYPE,ACTIVITY_TIMESTAMP
PvCN14JOhOfmNcR2hSODohTBJAE2,1-PvCN14JOhOfmNcR2hSODohTBJAE2,false,false,1577692330023,1577692552417,222394,true,12/30/19,1-PvCN14JOhOfmNcR2hSODohTBJAE2,7,1577692330034
PvCN14JOhOfmNcR2hSODohTBJAE2,2-PvCN14JOhOfmNcR2hSODohTBJAE2,true,false,1577692552420,1577700329127,7776707,false,12/30/19,2-PvCN14JOhOfmNcR2hSODohTBJAE2,3,1577692552428
PvCN14JOhOfmNcR2hSODohTBJAE2,2-PvCN14JOhOfmNcR2hSODohTBJAE2,true,false,1577692552420,1577700329127,7776707,false,12/30/19,3-PvCN14JOhOfmNcR2hSODohTBJAE2,3,1577698810736
PvCN14JOhOfmNcR2hSODohTBJAE2,2-PvCN14JOhOfmNcR2hSODohTBJAE2,true,false,1577692552420,1577700329127,7776707,false,12/30/19,4-PvCN14JOhOfmNcR2hSODohTBJAE2,3,1577699617701
PvCN14JOhOfmNcR2hSODohTBJAE2,3-PvCN14JOhOfmNcR2hSODohTBJAE2,false,false,1577700329132,1577700581215,252083,true,12/30/19,5-PvCN14JOhOfmNcR2hSODohTBJAE2,7,1577700329137
PvCN14JOhOfmNcR2hSODohTBJAE2,4-PvCN14JOhOfmNcR2hSODohTBJAE2,true,false,1577700581218,1577701757883,1176665,true,12/30/19,6-PvCN14JOhOfmNcR2hSODohTBJAE2,3,1577700581267
PvCN14JOhOfmNcR2hSODohTBJAE2,4-PvCN14JOhOfmNcR2hSODohTBJAE2,true,false,1577700581218,1577701757883,1176665,true,12/30/19,7-PvCN14JOhOfmNcR2hSODohTBJAE2,3,1577701485806
PvCN14JOhOfmNcR2hSODohTBJAE2,5-PvCN14JOhOfmNcR2hSODohTBJAE2,false,false,1577701757890,1577702689444,931554,true,12/30/19,8-PvCN14JOhOfmNcR2hSODohTBJAE2,7,1577701757896
