USER,SESSION,SESSION_SEDENTARY,SESSION_IN_VEHICLE,SESSION_START_TIMESTAMP,SESSION_END_TIMESTAMP,SESSION_DURATION,SESSION_SUCCESSFUL,SESSION_DATE,ACTIVITY,ACTIVITY_TYPE,ACTIVITY_TIMESTAMP
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,50-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1577966206302,1577971694315,5488013,false,02/01/2020,67-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1577966206322
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,50-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1577966206302,1577971694315,5488013,false,02/01/2020,68-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1577971686378
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,51-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,false,false,1577971694320,1577971853278,158958,true,02/01/2020,69-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,7,1577971694328
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,51-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,false,false,1577971694320,1577971853278,158958,true,02/01/2020,70-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,7,1577971703307
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,52-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1577971853284,1577971948233,94949,true,02/01/2020,71-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1577971853296
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,53-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,false,false,1577971948237,1577972681692,733455,true,02/01/2020,72-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,7,1577971948241
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,53-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,false,false,1577971948237,1577972681692,733455,true,02/01/2020,73-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,7,1577972366740
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,54-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1577972681696,1577972734756,53060,true,02/01/2020,74-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1577972681715
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,55-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,false,false,1577972734763,1577973016859,282096,true,02/01/2020,75-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,7,1577972734770
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,55-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,false,false,1577972734763,1577973016859,282096,true,02/01/2020,76-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,7,1577972905782
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,56-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1577973016865,1577988055954,15039089,false,02/01/2020,77-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1577973016880
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,56-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1577973016865,1577988055954,15039089,false,02/01/2020,78-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1577980278049
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,57-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,false,false,1577988055961,1577989372287,1316326,true,02/01/2020,79-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,11,1577988055963
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,58-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1577989372299,1577989997992,625693,true,02/01/2020,80-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1577989372308
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,59-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,false,false,1577989997997,1577990231321,233324,true,02/01/2020,81-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,7,1577989998012
