USER,SESSION,SESSION_SEDENTARY,SESSION_IN_VEHICLE,SESSION_START_TIMESTAMP,SESSION_END_TIMESTAMP,SESSION_DURATION,SESSION_SUCCESSFUL,SESSION_DATE,ACTIVITY,ACTIVITY_TYPE,ACTIVITY_TIMESTAMP
ccpfoKKTTwR0ZdnqXNDe500l55d2,77-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578178538507,1578182704965,4166458,false,04/01/2020,88-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578178538516
ccpfoKKTTwR0ZdnqXNDe500l55d2,78-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578182704969,1578182765100,60131,true,05/01/2020,89-ccpfoKKTTwR0ZdnqXNDe500l55d2,11,1578182704975
ccpfoKKTTwR0ZdnqXNDe500l55d2,79-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578182765103,1578186044429,3279326,false,05/01/2020,90-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578182765114
ccpfoKKTTwR0ZdnqXNDe500l55d2,79-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578182765103,1578186044429,3279326,false,05/01/2020,91-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578186042332
