USER,SESSION,SESSION_SEDENTARY,SESSION_IN_VEHICLE,SESSION_START_TIMESTAMP,SESSION_END_TIMESTAMP,SESSION_DURATION,SESSION_SUCCESSFUL,SESSION_DATE,ACTIVITY,ACTIVITY_TYPE,ACTIVITY_TIMESTAMP
ccpfoKKTTwR0ZdnqXNDe500l55d2,140-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578396826451,1578397547715,721264,true,07/01/2020,156-ccpfoKKTTwR0ZdnqXNDe500l55d2,7,1578396826455
ccpfoKKTTwR0ZdnqXNDe500l55d2,140-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578396826451,1578397547715,721264,true,07/01/2020,157-ccpfoKKTTwR0ZdnqXNDe500l55d2,7,1578396846106
ccpfoKKTTwR0ZdnqXNDe500l55d2,141-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578397547717,1578397662728,115011,true,07/01/2020,158-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578397547728
