USER,SESSION,SESSION_SEDENTARY,SESSION_IN_VEHICLE,SESSION_START_TIMESTAMP,SESSION_END_TIMESTAMP,SESSION_DURATION,SESSION_SUCCESSFUL,SESSION_DATE,ACTIVITY,ACTIVITY_TYPE,ACTIVITY_TIMESTAMP
sgLhadXA2mQ3qT7XREBhDie2hnv2,30-sgLhadXA2mQ3qT7XREBhDie2hnv2,true,false,1578969194337,1578994987508,25793171,false,14/01/2020,34-sgLhadXA2mQ3qT7XREBhDie2hnv2,3,1578969194361
sgLhadXA2mQ3qT7XREBhDie2hnv2,31-sgLhadXA2mQ3qT7XREBhDie2hnv2,false,false,1578994987515,1579008242260,13254745,true,14/01/2020,35-sgLhadXA2mQ3qT7XREBhDie2hnv2,11,1578994987555
sgLhadXA2mQ3qT7XREBhDie2hnv2,32-sgLhadXA2mQ3qT7XREBhDie2hnv2,true,false,1579008242269,1579009081706,839437,true,14/01/2020,36-sgLhadXA2mQ3qT7XREBhDie2hnv2,3,1579008242290
sgLhadXA2mQ3qT7XREBhDie2hnv2,33-sgLhadXA2mQ3qT7XREBhDie2hnv2,false,false,1579009081719,1579011673103,2591384,true,14/01/2020,37-sgLhadXA2mQ3qT7XREBhDie2hnv2,7,1579009081770
sgLhadXA2mQ3qT7XREBhDie2hnv2,33-sgLhadXA2mQ3qT7XREBhDie2hnv2,false,false,1579009081719,1579011673103,2591384,true,14/01/2020,38-sgLhadXA2mQ3qT7XREBhDie2hnv2,7,1579009093595
sgLhadXA2mQ3qT7XREBhDie2hnv2,34-sgLhadXA2mQ3qT7XREBhDie2hnv2,true,false,1579011673108,1579012922111,1249003,true,14/01/2020,39-sgLhadXA2mQ3qT7XREBhDie2hnv2,3,1579011673123
