USER,SESSION,SESSION_SEDENTARY,SESSION_IN_VEHICLE,SESSION_START_TIMESTAMP,SESSION_END_TIMESTAMP,SESSION_DURATION,SESSION_SUCCESSFUL,SESSION_DATE,ACTIVITY,ACTIVITY_TYPE,ACTIVITY_TIMESTAMP
ccpfoKKTTwR0ZdnqXNDe500l55d2,17-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1577729077274,1577732925333,3848059,false,30/12/2019,21-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1577729077291
ccpfoKKTTwR0ZdnqXNDe500l55d2,18-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1577732925341,1577732985438,60097,true,30/12/2019,22-ccpfoKKTTwR0ZdnqXNDe500l55d2,11,1577732925348
ccpfoKKTTwR0ZdnqXNDe500l55d2,19-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1577732985439,1577733050413,64974,true,30/12/2019,23-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1577732985444
ccpfoKKTTwR0ZdnqXNDe500l55d2,20-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1577733050416,1577733110293,59877,false,30/12/2019,24-ccpfoKKTTwR0ZdnqXNDe500l55d2,11,1577733050422
ccpfoKKTTwR0ZdnqXNDe500l55d2,21-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1577733110296,1577733120326,10030,true,30/12/2019,25-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1577733110309
ccpfoKKTTwR0ZdnqXNDe500l55d2,22-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1577733120329,1577733180335,60006,true,30/12/2019,26-ccpfoKKTTwR0ZdnqXNDe500l55d2,11,1577733120336
ccpfoKKTTwR0ZdnqXNDe500l55d2,23-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1577733180338,1577733210363,30025,true,30/12/2019,27-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1577733180345
ccpfoKKTTwR0ZdnqXNDe500l55d2,24-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1577733210367,1577733270222,59855,false,30/12/2019,28-ccpfoKKTTwR0ZdnqXNDe500l55d2,11,1577733210373
ccpfoKKTTwR0ZdnqXNDe500l55d2,25-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1577733270225,1577733285253,15028,true,30/12/2019,29-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1577733270235
ccpfoKKTTwR0ZdnqXNDe500l55d2,26-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1577733285257,1577733316336,31079,false,30/12/2019,30-ccpfoKKTTwR0ZdnqXNDe500l55d2,11,1577733285263
ccpfoKKTTwR0ZdnqXNDe500l55d2,27-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,true,1577733316343,1577733820824,504481,true,30/12/2019,31-ccpfoKKTTwR0ZdnqXNDe500l55d2,1,1577733316347
ccpfoKKTTwR0ZdnqXNDe500l55d2,27-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,true,1577733316343,1577733820824,504481,true,30/12/2019,32-ccpfoKKTTwR0ZdnqXNDe500l55d2,1,1577733817570
ccpfoKKTTwR0ZdnqXNDe500l55d2,29-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,true,1577737317205,1577737330607,13402,true,30/12/2019,35-ccpfoKKTTwR0ZdnqXNDe500l55d2,1,1577737317211
ccpfoKKTTwR0ZdnqXNDe500l55d2,30-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1577737330610,1577744770733,7440123,false,30/12/2019,36-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1577737330620
