USER,SESSION,SESSION_SEDENTARY,SESSION_IN_VEHICLE,SESSION_START_TIMESTAMP,SESSION_END_TIMESTAMP,SESSION_DURATION,SESSION_SUCCESSFUL,SESSION_DATE,ACTIVITY,ACTIVITY_TYPE,ACTIVITY_TIMESTAMP
ccpfoKKTTwR0ZdnqXNDe500l55d2,369-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578749851928,1578750609094,757166,true,11/01/2020,406-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578749851940
ccpfoKKTTwR0ZdnqXNDe500l55d2,370-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578750609100,1578751685351,1076251,true,11/01/2020,407-ccpfoKKTTwR0ZdnqXNDe500l55d2,7,1578750609107
ccpfoKKTTwR0ZdnqXNDe500l55d2,370-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578750609100,1578751685351,1076251,true,11/01/2020,408-ccpfoKKTTwR0ZdnqXNDe500l55d2,7,1578750818992
ccpfoKKTTwR0ZdnqXNDe500l55d2,371-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578751685356,1578752286218,600862,true,11/01/2020,409-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578751685373
ccpfoKKTTwR0ZdnqXNDe500l55d2,372-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578752286222,1578752410670,124448,true,11/01/2020,410-ccpfoKKTTwR0ZdnqXNDe500l55d2,11,1578752286231
ccpfoKKTTwR0ZdnqXNDe500l55d2,373-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578752410674,1578752451077,40403,true,11/01/2020,411-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578752410689
ccpfoKKTTwR0ZdnqXNDe500l55d2,374-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578752451082,1578752570578,119496,true,11/01/2020,412-ccpfoKKTTwR0ZdnqXNDe500l55d2,11,1578752451099
ccpfoKKTTwR0ZdnqXNDe500l55d2,375-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578752570582,1578752645711,75129,true,11/01/2020,413-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578752570594
ccpfoKKTTwR0ZdnqXNDe500l55d2,376-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578752645715,1578752720995,75280,true,11/01/2020,414-ccpfoKKTTwR0ZdnqXNDe500l55d2,11,1578752645722
ccpfoKKTTwR0ZdnqXNDe500l55d2,377-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578752720998,1578752731111,10113,true,11/01/2020,415-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578752721013
ccpfoKKTTwR0ZdnqXNDe500l55d2,378-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578752731114,1578752837611,106497,true,11/01/2020,416-ccpfoKKTTwR0ZdnqXNDe500l55d2,11,1578752731122
ccpfoKKTTwR0ZdnqXNDe500l55d2,379-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578752837614,1578752853066,15452,true,11/01/2020,417-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578752837630
ccpfoKKTTwR0ZdnqXNDe500l55d2,380-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578752853068,1578753718282,865214,true,11/01/2020,418-ccpfoKKTTwR0ZdnqXNDe500l55d2,7,1578752853073
ccpfoKKTTwR0ZdnqXNDe500l55d2,380-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578752853068,1578753718282,865214,true,11/01/2020,419-ccpfoKKTTwR0ZdnqXNDe500l55d2,7,1578752855419
ccpfoKKTTwR0ZdnqXNDe500l55d2,381-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578753718292,1578753998088,279796,true,11/01/2020,420-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578753718305
ccpfoKKTTwR0ZdnqXNDe500l55d2,382-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578753998090,1578754058080,59990,false,11/01/2020,421-ccpfoKKTTwR0ZdnqXNDe500l55d2,11,1578753998097
ccpfoKKTTwR0ZdnqXNDe500l55d2,383-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578754058084,1578754451349,393265,true,11/01/2020,422-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578754058100
ccpfoKKTTwR0ZdnqXNDe500l55d2,384-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578754451352,1578754511329,59977,false,11/01/2020,423-ccpfoKKTTwR0ZdnqXNDe500l55d2,11,1578754451358
ccpfoKKTTwR0ZdnqXNDe500l55d2,385-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578754511332,1578754641315,129983,true,11/01/2020,424-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578754511345
ccpfoKKTTwR0ZdnqXNDe500l55d2,386-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578754641318,1578754716424,75106,true,11/01/2020,425-ccpfoKKTTwR0ZdnqXNDe500l55d2,11,1578754641325
ccpfoKKTTwR0ZdnqXNDe500l55d2,387-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578754716427,1578759564669,4848242,false,11/01/2020,426-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578754716439
ccpfoKKTTwR0ZdnqXNDe500l55d2,388-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578759564673,1578759624582,59909,false,11/01/2020,427-ccpfoKKTTwR0ZdnqXNDe500l55d2,11,1578759564678
ccpfoKKTTwR0ZdnqXNDe500l55d2,389-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578759624584,1578759634637,10053,true,11/01/2020,428-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578759624603
ccpfoKKTTwR0ZdnqXNDe500l55d2,390-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578759634638,1578760156138,521500,true,11/01/2020,429-ccpfoKKTTwR0ZdnqXNDe500l55d2,7,1578759634643
ccpfoKKTTwR0ZdnqXNDe500l55d2,390-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578759634638,1578760156138,521500,true,11/01/2020,430-ccpfoKKTTwR0ZdnqXNDe500l55d2,7,1578759657126
ccpfoKKTTwR0ZdnqXNDe500l55d2,391-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578760156140,1578760653473,497333,true,11/01/2020,431-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578760156156
ccpfoKKTTwR0ZdnqXNDe500l55d2,392-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,true,1578760653476,1578761558458,904982,true,11/01/2020,432-ccpfoKKTTwR0ZdnqXNDe500l55d2,0,1578760653489
ccpfoKKTTwR0ZdnqXNDe500l55d2,393-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578761558461,1578761804747,246286,true,11/01/2020,433-ccpfoKKTTwR0ZdnqXNDe500l55d2,7,1578761558465
ccpfoKKTTwR0ZdnqXNDe500l55d2,394-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,true,1578761804750,1578762186022,381272,true,11/01/2020,434-ccpfoKKTTwR0ZdnqXNDe500l55d2,0,1578761804758
ccpfoKKTTwR0ZdnqXNDe500l55d2,395-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578762186025,1578762512575,326550,true,11/01/2020,435-ccpfoKKTTwR0ZdnqXNDe500l55d2,7,1578762186030
ccpfoKKTTwR0ZdnqXNDe500l55d2,396-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578762512576,1578762587695,75119,true,11/01/2020,436-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578762512588
ccpfoKKTTwR0ZdnqXNDe500l55d2,397-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578762587698,1578762647607,59909,false,11/01/2020,437-ccpfoKKTTwR0ZdnqXNDe500l55d2,11,1578762587703
ccpfoKKTTwR0ZdnqXNDe500l55d2,398-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578762647610,1578762657659,10049,true,11/01/2020,438-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578762647624
ccpfoKKTTwR0ZdnqXNDe500l55d2,399-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578762657663,1578763417025,759362,true,11/01/2020,439-ccpfoKKTTwR0ZdnqXNDe500l55d2,7,1578762657670
ccpfoKKTTwR0ZdnqXNDe500l55d2,399-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578762657663,1578763417025,759362,true,11/01/2020,440-ccpfoKKTTwR0ZdnqXNDe500l55d2,7,1578762699516
ccpfoKKTTwR0ZdnqXNDe500l55d2,400-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578763417029,1578768828030,5411001,false,11/01/2020,441-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578763417041
ccpfoKKTTwR0ZdnqXNDe500l55d2,403-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578768828034,1578768888092,60058,true,11/01/2020,444-ccpfoKKTTwR0ZdnqXNDe500l55d2,11,1578768828039
ccpfoKKTTwR0ZdnqXNDe500l55d2,404-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578768888094,1578768908151,20057,true,11/01/2020,445-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578768888117
ccpfoKKTTwR0ZdnqXNDe500l55d2,405-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578768908155,1578768923471,15316,false,11/01/2020,446-ccpfoKKTTwR0ZdnqXNDe500l55d2,7,1578768908163
