USER,SESSION,SESSION_SEDENTARY,SESSION_IN_VEHICLE,SESSION_START_TIMESTAMP,SESSION_END_TIMESTAMP,SESSION_DURATION,SESSION_SUCCESSFUL,SESSION_DATE,ACTIVITY,ACTIVITY_TYPE,ACTIVITY_TIMESTAMP
ccpfoKKTTwR0ZdnqXNDe500l55d2,265-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578429182378,1578473231192,44048814,false,07/01/2020,291-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578429182399
ccpfoKKTTwR0ZdnqXNDe500l55d2,266-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578473231196,1578474697686,1466490,true,08/01/2020,292-ccpfoKKTTwR0ZdnqXNDe500l55d2,7,1578473231202
ccpfoKKTTwR0ZdnqXNDe500l55d2,266-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578473231196,1578474697686,1466490,true,08/01/2020,293-ccpfoKKTTwR0ZdnqXNDe500l55d2,7,1578473280796
ccpfoKKTTwR0ZdnqXNDe500l55d2,267-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578474697689,1578474862312,164623,true,08/01/2020,294-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578474697700
ccpfoKKTTwR0ZdnqXNDe500l55d2,268-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578474862316,1578474922185,59869,false,08/01/2020,295-ccpfoKKTTwR0ZdnqXNDe500l55d2,11,1578474862322
ccpfoKKTTwR0ZdnqXNDe500l55d2,269-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578474922187,1578475031577,109390,true,08/01/2020,296-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578474922202
ccpfoKKTTwR0ZdnqXNDe500l55d2,270-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,true,1578475031581,1578476419880,1388299,true,08/01/2020,297-ccpfoKKTTwR0ZdnqXNDe500l55d2,0,1578475031584
ccpfoKKTTwR0ZdnqXNDe500l55d2,271-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578476419885,1578478525385,2105500,true,08/01/2020,298-ccpfoKKTTwR0ZdnqXNDe500l55d2,7,1578476419889
ccpfoKKTTwR0ZdnqXNDe500l55d2,272-ccpfoKKTTwR0ZdnqXNDe500l55d2,true,false,1578478525387,1578478920131,394744,true,08/01/2020,299-ccpfoKKTTwR0ZdnqXNDe500l55d2,3,1578478525399
ccpfoKKTTwR0ZdnqXNDe500l55d2,273-ccpfoKKTTwR0ZdnqXNDe500l55d2,false,false,1578478920135,1578479755398,835263,true,08/01/2020,300-ccpfoKKTTwR0ZdnqXNDe500l55d2,11,1578478920143
