USER,SESSION,SESSION_SEDENTARY,SESSION_IN_VEHICLE,SESSION_START_TIMESTAMP,SESSION_END_TIMESTAMP,SESSION_DURATION,SESSION_SUCCESSFUL,SESSION_DATE,ACTIVITY,ACTIVITY_TYPE,ACTIVITY_TIMESTAMP
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,1-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1577387064564,1577390949996,3885432,false,26/12/2019,1-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1577387064577
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,1-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1577387064564,1577390949996,3885432,false,26/12/2019,2-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1577390911451
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,2-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,false,false,1577390950007,1577391024996,74989,true,26/12/2019,3-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,4,1577390950013
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1577391025023,1577391283838,258815,true,26/12/2019,4-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1577391025030
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1577391025023,1577391283838,258815,true,26/12/2019,5-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1577391100005
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1577391025023,1577391283838,258815,true,26/12/2019,6-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1577391184508
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1577391025023,1577391283838,258815,true,26/12/2019,7-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1577391259973
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,4-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,false,false,1577391283842,1577391647697,363855,true,26/12/2019,8-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,4,1577391283870
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,4-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,false,false,1577391283842,1577391647697,363855,true,26/12/2019,9-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,5,1577391569475
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,4-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,false,false,1577391283842,1577391647697,363855,true,26/12/2019,10-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,5,1577391647618
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,5-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1577391647701,1577394161010,2513309,false,26/12/2019,11-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1577391647708
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,5-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1577391647701,1577394161010,2513309,false,26/12/2019,12-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1577391716216
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,5-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1577391647701,1577394161010,2513309,false,26/12/2019,13-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1577391792115
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,5-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1577391647701,1577394161010,2513309,false,26/12/2019,14-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1577391859560
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,5-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1577391647701,1577394161010,2513309,false,26/12/2019,15-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1577391927008
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,5-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1577391647701,1577394161010,2513309,false,26/12/2019,16-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1577391994413
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,5-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1577391647701,1577394161010,2513309,false,26/12/2019,17-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1577392061887
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,5-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1577391647701,1577394161010,2513309,false,26/12/2019,18-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1577392136275
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,5-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1577391647701,1577394161010,2513309,false,26/12/2019,19-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1577392311518
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,5-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1577391647701,1577394161010,2513309,false,26/12/2019,20-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1577392311613
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,5-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1577391647701,1577394161010,2513309,false,26/12/2019,21-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1577392311640
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,5-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1577391647701,1577394161010,2513309,false,26/12/2019,22-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1577392319319
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,5-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1577391647701,1577394161010,2513309,false,26/12/2019,23-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1577393144507
