USER,SESSION,SESSION_SEDENTARY,SESSION_IN_VEHICLE,SESSION_START_TIMESTAMP,SESSION_END_TIMESTAMP,SESSION_DURATION,SESSION_SUCCESSFUL,SESSION_DATE,ACTIVITY,ACTIVITY_TYPE,ACTIVITY_TIMESTAMP
t5wjYo5jcbWUFANDvIy8KuUk6Jo1,5-t5wjYo5jcbWUFANDvIy8KuUk6Jo1,true,false,1578575549251,1578583403749,7854498,false,9.1.20,6-t5wjYo5jcbWUFANDvIy8KuUk6Jo1,3,1578575549266
t5wjYo5jcbWUFANDvIy8KuUk6Jo1,6-t5wjYo5jcbWUFANDvIy8KuUk6Jo1,false,false,1578583403756,1578584088649,684893,true,9.1.20,7-t5wjYo5jcbWUFANDvIy8KuUk6Jo1,11,1578583404348
t5wjYo5jcbWUFANDvIy8KuUk6Jo1,7-t5wjYo5jcbWUFANDvIy8KuUk6Jo1,true,false,1578584088655,1578586114379,2025724,false,9.1.20,8-t5wjYo5jcbWUFANDvIy8KuUk6Jo1,3,1578584088700
t5wjYo5jcbWUFANDvIy8KuUk6Jo1,8-t5wjYo5jcbWUFANDvIy8KuUk6Jo1,false,true,1578586114383,1578587036364,921981,true,9.1.20,9-t5wjYo5jcbWUFANDvIy8KuUk6Jo1,0,1578586114413
t5wjYo5jcbWUFANDvIy8KuUk6Jo1,9-t5wjYo5jcbWUFANDvIy8KuUk6Jo1,true,false,1578587036367,1578588587117,1550750,true,9.1.20,10-t5wjYo5jcbWUFANDvIy8KuUk6Jo1,3,1578587036396
t5wjYo5jcbWUFANDvIy8KuUk6Jo1,10-t5wjYo5jcbWUFANDvIy8KuUk6Jo1,false,true,1578588588077,1578589143018,554941,true,9.1.20,11-t5wjYo5jcbWUFANDvIy8KuUk6Jo1,0,1578588589105
t5wjYo5jcbWUFANDvIy8KuUk6Jo1,11-t5wjYo5jcbWUFANDvIy8KuUk6Jo1,true,false,1578589143021,1578590421212,1278191,true,9.1.20,12-t5wjYo5jcbWUFANDvIy8KuUk6Jo1,3,1578589143052
t5wjYo5jcbWUFANDvIy8KuUk6Jo1,12-t5wjYo5jcbWUFANDvIy8KuUk6Jo1,false,false,1578590421216,1578591022138,600922,true,9.1.20,13-t5wjYo5jcbWUFANDvIy8KuUk6Jo1,11,1578590421242
t5wjYo5jcbWUFANDvIy8KuUk6Jo1,13-t5wjYo5jcbWUFANDvIy8KuUk6Jo1,true,false,1578591022142,1578591111654,89512,true,9.1.20,14-t5wjYo5jcbWUFANDvIy8KuUk6Jo1,3,1578591022172
t5wjYo5jcbWUFANDvIy8KuUk6Jo1,14-t5wjYo5jcbWUFANDvIy8KuUk6Jo1,false,true,1578591111688,1578591662987,551299,true,9.1.20,15-t5wjYo5jcbWUFANDvIy8KuUk6Jo1,0,1578591111713
