USER,SESSION,SESSION_SEDENTARY,SESSION_IN_VEHICLE,SESSION_START_TIMESTAMP,SESSION_END_TIMESTAMP,SESSION_DURATION,SESSION_SUCCESSFUL,SESSION_DATE,ACTIVITY,ACTIVITY_TYPE,ACTIVITY_TIMESTAMP
t5wjYo5jcbWUFANDvIy8KuUk6Jo1,20-t5wjYo5jcbWUFANDvIy8KuUk6Jo1,true,false,1578657082289,1578661953180,4870891,false,10.1.20,22-t5wjYo5jcbWUFANDvIy8KuUk6Jo1,3,1578657082300
t5wjYo5jcbWUFANDvIy8KuUk6Jo1,21-t5wjYo5jcbWUFANDvIy8KuUk6Jo1,false,false,1578661953187,1578662013774,60587,true,10.1.20,23-t5wjYo5jcbWUFANDvIy8KuUk6Jo1,11,1578661953205
t5wjYo5jcbWUFANDvIy8KuUk6Jo1,22-t5wjYo5jcbWUFANDvIy8KuUk6Jo1,true,false,1578662013782,1578675477487,13463705,false,10.1.20,24-t5wjYo5jcbWUFANDvIy8KuUk6Jo1,3,1578662013809
